Longitude,Latitude,Pixel,Scan
24.1961974,10.4384335,1800,1000
24.2199042,10.4369892,1900,1000
24.2436113,10.435548,2000,1000
24.2673186,10.43411,2100,1000
24.2910265,10.432675,2200,1000
24.314735,10.4312432,2300,1000
24.3384444,10.4298144,2400,1000
24.3621547,10.4283887,2500,1000
24.3858663,10.4269661,2600,1000
24.4095792,10.4255465,2700,1000
24.4332936,10.4241299,2800,1000
24.4570097,10.4227164,2900,1000
24.4807276,10.421306,3000,1000
24.5044475,10.4198985,3100,1000
24.5281697,10.4184941,3200,1000
24.5518941,10.4170927,3300,1000
24.5756211,10.4156942,3400,1000
24.5993508,10.4142988,3500,1000
24.6230834,10.4129063,3600,1000
24.646819,10.4115168,3700,1000
24.6705578,10.4101302,3800,1000
24.6942999,10.4087466,3900,1000
24.7178081,10.4073797,3999,1000
23.7689937,10.4491443,0,1100
23.7927258,10.4476432,100,1100
23.816455,10.4461454,200,1100
23.8401816,10.4446508,300,1100
23.8639056,10.4431596,400,1100
23.8876273,10.4416716,500,1100
23.9113468,10.440187,600,1100
23.9350643,10.4387056,700,1100
23.9587799,10.4372274,800,1100
23.9824939,10.4357525,900,1100
24.0062064,10.4342808,1000,1100
24.0299175,10.4328124,1100,1100
24.0536275,10.4313471,1200,1100
24.0773365,10.429885,1300,1100
24.1010446,10.4284262,1400,1100
24.1247521,10.4269705,1500,1100
24.1484591,10.425518,1600,1100
24.1721657,10.4240686,1700,1100
24.1958722,10.4226224,1800,1100
24.2195787,10.4211793,1900,1100
24.2432853,10.4197393,2000,1100
24.2669923,10.4183025,2100,1100
24.2906999,10.4168688,2200,1100
24.3144081,10.4154381,2300,1100
24.3381171,10.4140106,2400,1100
24.3618271,10.4125861,2500,1100
24.3855384,10.4111647,2600,1100
24.409251,10.4097464,2700,1100
24.4329651,10.4083311,2800,1100
24.4566808,10.4069188,2900,1100
24.4803985,10.4055096,3000,1100
24.5041181,10.4041034,3100,1100
24.52784,10.4027002,3200,1100
24.5515642,10.4013001,3300,1100
24.5752909,10.3999029,3400,1100
